name,price,status,shipping,free_returns,items_sold
Shop on eBay,2000,Brand New,,False,
Desk Calculator 12-Digit Desktop Calculator with Standard Function Solar Large,766,Brand New,0,True,
Texas Instruments TI-84 Plus Graphing Calculator Black With Cover,7900,Pre-Owned,0,False,172
Helect Standard Function Desktop Business Calculator H1006,1199,Brand New,0,False,2034
Helect H1002 2-Line Engineering Scientific Calculator,1599,Brand New,0,False,1479
Texas Instruments TI-83 Plus Graphing Calculator TI83 + ,1999,Refurbished,497,False,4864
Texas Instruments TI-83 Plus Graphing Calculator Fully Functional,2400,Pre-Owned,0,False,26
Texas Instruments TI-84 Plus Calculator Good Condition & Fast Free Shipping :),6000,Pre-Owned,0,False,
New 12-Digit Desktop Calculator Standard Function Dual Power Solar AA Battery,899,Brand New,0,True,
Texas Instruments TI 83 Graphing Calculator with Cover Tested Calculus,3000,Pre-Owned,0,False,81
12-Digit Desktop Calculator Solar Battery Big Button Dual Power Large Display,766,Brand New,0,True,
Texas Instruments TI-84 Plus Graphing Calculator,5000,Pre-Owned,500,False,50
Solar Battery Desktop Calculator Basic 12-Digit Large Display Office Business US,792,Brand New,0,True,
Texas Instruments TI-84 Plus Calculator Good Condition & Fast Free Shipping :),6049,Pre-Owned,0,False,
Desktop Calculator 12 Digit Display Battery Solar Basic Big Button Business Home,790,Brand New,0,True,
Casio FX-300ESPLUS Scientific Calculator,1045,Brand New,0,False,30
Large 12-Digit Calculator Big Button Desktop Math Display Solar Battery Powered,798,Brand New,0,True,
Texas Instruments TI-83 Plus Graphing Calculator - Tested and Working - TI-83+,3200,Pre-Owned,0,False,
Texas Instruments TI-83 Plus Graphing Calculator W/Covers. NEW BATTERIES!,3999,Pre-Owned,0,False,53
New ListingUsed Texas Instruments TI-84 Plus Edition Graphing Calculator - No Cover,2499,Pre-Owned,0,False,
Electronic Calculator KK-837-12S Standard Function Electronics Calculator,699,Brand New,0,True,
Texas Instruments TI-84 Plus Silver Edition Graphing Calculator ,6999,Pre-Owned,0,True,183
Texas Instruments TI-Nspire CX Graphing Calculator,6999,Pre-Owned,0,True,
Texas Instruments Ti-89 Titanium Graphing Calculator,6300,Pre-Owned,0,False,
Casio Calculator SL-300Ve-S Solar Handheld NEW SEALED,800,Brand New,0,False,
Texas Instruments TI-36X Scientific Calculator Solar ,649,Pre-Owned,0,True,148
"Casio MS-80B Standard Function Desktop Calculator,Black",1149,Brand New,0,False,
Texas Instruments TI-83 Plus Graphing Calculator Fully Functional (3),2000,Pre-Owned,0,False,
Casio POCKET Electronic Calculator HL-820LV-BK Large Display 8-Digit LCD BLACK,725,Brand New,0,False,
Helect Desk Calculator 12-Digit Desktop Calculator with Standard Function,1099,Brand New,0,False,1707
Catiga CP-30A 12 Digits 2 Color with LCD Display Printing Calculator Black,2499,Brand New,0,False,
Texas Instruments Ti-Nspire CX II CAS Graphing Calculator with Student Software,13998,Brand New,0,True,
BRAND NEW Texas Instruments TI-84 Plus CE Color Graphing Calculator,10999,Brand New,0,True,
HP 12C Financial Calculator Hewlett-Packard with Case,1390,Pre-Owned,610,False,
New Texas Instruments TI-84 Plus CE Enhanced Graphing Calculator (Blue),9500,Brand New,0,False,
New ListingTexas Instruments TI-Nspire CX Graphing Calculator,2500,Pre-Owned,0,False,
Construction Master 5 Calculator. NEW in original sealed packaging. ,3276,Brand New,0,False,56
New ListingHP 12C Financial Calculator W/Case and Owner's Handbook,1995,Pre-Owned,655,False,
New ListingTexas Instruments Ti-89 Titanium Graphing Calculator. Mint Condition New Battery,100,Pre-Owned,975,False,
Functional Heavily Used  Texas Instruments TI-84 Plus Calculator,3899,Pre-Owned,400,True,
12-Digit Desktop Calculator Big Button Calculator Home Office Shcool Business ,799,Brand New,0,True,
Texas Instruments TI-84 Plus CE Color Graphing Calculator - Black,10299,Brand New,0,True,171
New ListingTexas Instruments TI-86 Graphing Calculator,1999,Pre-Owned,0,False,
"Casio MS-80B Standard Function Desktop Calculator,Black",1129,Brand New,0,True,
Texas Instruments TI 92 Graphing Calculator with Cover Tested Calculus CAS,3500,Pre-Owned,0,False,
New ListingTexas Instruments TI-30XIIS Scientific Calculator,1,Pre-Owned,610,False,
Texas Instruments TI-83 Plus Graphing Calculator With Cover Tested Working,2495,Pre-Owned,495,False,
Large Desktop Calculator 12 Digit Solar Battery Business Desktop Large LCD Calc,999,Brand New,0,False,
New ListingHewlett Packard HP 48GX HP 48G Graphing Calculator Manual User Guide &Quick Star,5000,Pre-Owned,0,False,
New ListingCasio Power Graphic Calculator fx-7400G Plus Handheld W/Cover,999,Pre-Owned,0,False,
Desktop Calculator 12 Digit Display Battery Solar Basic Big Button Business Home,766,Brand New,0,True,
New ListingCasio HR-100TM Desktop Printing Calculator Tested Works,2499,Pre-Owned,0,False,
Texas Instruments TI-84 Plus Graphing Calculator TI84+,4699,Pre-Owned,497,False,727
OEM TI-84 Plus Ce Slide Cover Yellow Calculator Very Good,980,Pre-Owned,0,False,
New ListingTexas Instrument TI-34 Multiview Calculator,99,Pre-Owned,800,False,
New ListingTexas Instruments TI-84 Plus Graphing Silver Calculator - FAST FREE SHIPPING!,5999,Pre-Owned,0,False,
Used - Casio FX-300ES Scientific Calculator - Pink,850,Pre-Owned,0,False,
TI-Nspire CX Graphic Calculator Texas Instruments Graphing,4999,Refurbished,497,False,15
HP 2AP18AA Prime G2 Graphing Calculator,12995,Brand New,0,True,
12-Digit Solar Battery Office Calculator Large LCD Display Big Sensitive Button,491,Brand New,0,False,
New ListingTexas Instruments TI-83 Plus Graphing Calculator NEW Factory Sealed - fast ship!,5995,Brand New,0,False,
New ListingCasio fx-9750GIII Graphing Calculator - SAT/ACT Approval - brand new NIB,99,Brand New,0,False,
New ListingTexas Instruments TI-nspire CX II Advanced Graphing Calculator New Sealed,6600,Brand New,1190,False,
Texas Instruments TI-1494 Calculator 8 Digit Battery Blue Portable Office NEW,119,Brand New,600,True,
Canon P1-DHV Printing Calculator,1559,New – Open box,0,False,
"Casio MS-80B Standard Function Desktop Calculator,Black",1050,Brand New,0,False,
HP 30B Business Professional Financial Calculator,2500,Brand New,685,False,566
Casio POCKET Electronic Calculator HL-820LV-WE Large Display 8-Digit LCD WHITE,725,Brand New,0,False,
New ListingTexas Instruments TI-84 Graphing Calculator (Purple) (TI84PLSCEPLUM),6900,Brand New,0,False,
(6) Casio HR-170L HR-170LB HR-170RC Calculator Black & Red Ink Rollers,1199,Brand New,0,False,
CASIO SL-300VC-BE Extra Large Display 8 Digit Calculator BLUE ~ NEW,899,Brand New,0,False,
New ListingTexas Instruments TI-30XS Multiview Scientific Calculator,2005,Brand New,0,False,
Texas Instruments TI-Nspire CX II Advanced Graphing Calculator - White,9900,Brand New,0,False,
Casio HS8VA Standard Function Pocket Size Basic 8 Digit Calculator,849,Brand New,0,True,
Texas Instruments TI-84 Plus CE Graphing Calculator - Includes Cover & Charger!,9500,Pre-Owned,0,False,
Desk Calculator 12-Digit Desktop Calculator with Standard Function Solar Large,766,Brand New,0,True,
Shop on eBay,2000,Brand New,,False,
Texas Instruments TI-84 Plus CE Graphing Calculator - Includes Cover & Charger!,9500,Pre-Owned,0,False,
"MS-80B Standard Function Desktop Calculator,Black",1241,Brand New,0,False,
Desk Calculator 12-Digit Desktop Calculator with Standard Function Solar Large,766,Brand New,0,True,
"New ListingHP Hewlett Packard 10B Black Business Handheld Calculator, SN:3318S15666",850,Pre-Owned,550,False,
Casio HS8VA Standard Function Pocket Size Basic 8 Digit Calculator,849,Brand New,0,True,
New Factory TI-84 Plus CE Charger AC Adapter with USB Cable,699,New – Open box,0,False,
Standard Function Desktop Calculator Big Button 12 Digit for Daily Basic Office,1291,Brand New,0,True,
New ListingHewlett-Packard HP 12C Handheld Electronic Financial Calculator tested works,1495,Pre-Owned,747,False,
PPC ROM User’s Manual for HP 41C/CV/CX Calculators,4999,Pre-Owned,940,False,
New ListingHP 12c Financial Calculator Hewlett-Packard Hstnj-kno5,4000,Pre-Owned,450,False,
New ListingTexas Instruments TI-83 Plus Graphing Calculator Good Condition Tested-Fast Ship,1899,Pre-Owned,0,False,
Texas Instruments TI-86 Graphing Calculator,1499,Pre-Owned,0,False,
New ListingTi-89 Titanium Calculator (parts only),1999,Parts Only,575,False,
Graphing Calculator Carrying Case for Texas Instruments TI-Nspire CX II CAS,1329,Brand New,0,True,
for Texas Instruments TI-Nspire CX II CAS Graphing Calculator Carrying Case,1329,Brand New,0,True,99
Texas Instruments TI-Nspire CX Color Graphing Calculator With Cover & Charger,7900,Pre-Owned,0,False,
New ListingTexas Instruments TI-84 Plus CE Graphing Calculator - Red,9695,Brand New,0,False,
HP 30b Business Professional Financial Calculator With Case And Set Of Batteries,3000,Brand New,0,False,69
New ListingTexas Instruments TI-84 Plus Silver Edition Graphing Calculator - Pink,6000,Pre-Owned,610,False,
New ListingTexas Instruments TI-30XIIS Scientific Calculator And TI-30Xa Calculator Both,1495,Pre-Owned,0,False,
Texas Instruments TI-92 Plus Graphing Calculator,4060,Pre-Owned,1260,False,
New ListingTexas Instruments TI-84 Plus Graphing Calculator w/ Cover,4999,Pre-Owned,0,False,
Casio FX-65 Scientific Calculator 2 Way Power Auto Power Off With Cover,725,Pre-Owned,0,False,
New ListingTexas Instrument TI-Nspire CX II Scientific Calculator Advanced Graphing 2021 #2,9595,Brand New,1365,False,
Texas Instruments 84 Plus CE Enhanced Graphing Calculator - Blue - New/Sealed,9500,Brand New,0,True,
New ListingTexas Instruments TI-84 Plus All-Purpose Graphing Calculator NEW - fast ship!,7495,Brand New,0,False,
New ListingTexas Instruments TI-82 Graphing Calculator w/Cover,999,Pre-Owned,559,False,
New ListingTexas Instruments TI-89 Titanium Graphing Calculator - Black Lot Of 5 Working,20000,Pre-Owned,1600,False,
12-Digit Desktop Calculator Solar Battery Big Button Dual Power Large Display US,766,Brand New,0,True,
Casio POCKET Electronic Calculator HL-4A-W Mini Display 8-Digit LCD BLACK,645,Brand New,0,False,
New ListingNew Casio Classwiz FX-991EX Scientific Calculator,2890,Brand New,416,False,
Dual Powered Small DESK 8 Digit CALCULATOR Silver Color Solar Electronic Calc,898,Brand New,0,False,189
OEM TI-84 Plus Ce Slide Cover Yellow Calculator Very Good,980,Pre-Owned,0,False,
Black Solar Battery Desktop Calculator 12 Digit Large Button LCD Display Office,490,Brand New,0,False,
Texas Instruments Calculator NiMH BP1A BATTERY TI58 59 58C SR50 SR50A SR51 SR51A,2900,Brand New,450,False,247
TI-84 Plus CE Charger Power AC Adapter Genuine TI Product w USB Cable,695,Refurbished,0,False,788
New ListingTexas Instruments TI-34 MultiView Scientific Calculator Blue White,1100,Pre-Owned,610,False,
"AAGES Calculator Standard Function Desktop Calculator 6.5"" LCD Writing Tablet ",999,Brand New,0,False,
Texas Instruments TI-Nspire CX II Color Graphing Calculator with Student Softwar,10699,Brand New,0,True,
Hewlett Packard HP 48GX Graphing Calculator W/ Soft Case,17000,Pre-Owned,1205,False,
New ListingCasio FX-9750GII Graphing Calculator TESTED,1499,Pre-Owned,595,False,
New ListingTexas Instruments TI-83  Graphing Calculator Black,1795,Pre-Owned,1085,False,
New ListingTEXAS INSTRUMENTS T-85 GRAPHING CALCULATOR EXCELLENT,500,Brand New,900,False,
New ListingTexas Instruments TI-83 Plus Graphing Calculator With Cover And Carrying Case,3199,Pre-Owned,0,False,
Texas Instruments TI-84 Plus CE Python Graphing Calculator Black #8975PYTHON,14500,Brand New,0,True,266
Texas Instruments TI-84 CE PLUS COLOR Graphing Calculator - Blue - FREE SHIPPING,9900,Brand New,0,False,
New ListingTexas Instruments TI-84 Plus CE Color Graphing Calculator White NEW,7300,Brand New,1260,False,
Graphing scientific calculator Catiga - CS-229,1800,Pre-Owned,0,False,
New ListingTexas Instrument TI 34 II Calculator,99,Pre-Owned,800,False,
Innovera 15921 Pocket Calculator with Hard Shell Flip Cover 8-Digit LCD ,1029,Brand New,0,False,
"New ListingTexas Instrument , Math Explorer . calculator",499,Pre-Owned,610,False,
New ListingTexas Instruments TI-83 Graphing Calculator with Cover Used Works Great,99,Pre-Owned,699,False,
New ListingTexas Instruments Ti-84 Plus CE Graphing Calculator PURPLE,9000,Brand New,855,False,
12 Digit Calculator Desktop Solar Battery Big Button LCD Standard Function Home,793,Brand New,0,True,
New ListingTexas Instrument TI-8250 Calculator Print Machine Vintage Electronic Heavy Duty ,1799,Pre-Owned,2498,False,
New Texas Instruments TI-84 Plus Graphing Calculator -Black ,7900,Brand New,0,False,
"New ListingPink Casio fx-9750gii, tested and working",1000,Pre-Owned,700,False,
Sharp Calculator EL-233SB 8-Digit Pocket Calculator - EL233SB - Small Palm SIzed,689,Brand New,0,False,
New ListingTexas Instruments TI-35 Plus Graphing Calculator,1399,Pre-Owned,600,True,
New ListingHewlett Packard HP 10B Business Calculator With New Batteries Tested & Working,1887,Pre-Owned,0,False,
Texas Instruments TI-nspire CX CAS Graphing Calculator,3307,Pre-Owned,1043,False,
New ListingTexas Instruments TI-84 Plus Graphing Calculator - Black No Cover!,4900,Pre-Owned,900,False,
New ListingTexas Instruments TI-83 Plus Graphing Calculator,1499,Pre-Owned,495,False,
New ListingTexas Instruments TI-84 Plus Silver Edition Graphing Calculator - Silver,3999,Pre-Owned,299,False,
New ListingLot of 10! Victor 700 Pocket Calculator,1499,Pre-Owned,0,True,
CATIGA CD-8185 Office and Home Style Basic  Calculator - 8-Digit LCD Display,949,Brand New,0,False,
New ListingTexas Instruments TI-36X Pro Scientific Calculator (GREAT CONDITION)  !!!!,1099,Pre-Owned,1260,False,
New ListingTWO Texas Instruments TI-84 Plus Graphing Calculator - Black. TWO CALCULATORS.,13500,New – Open box,1365,False,
Texas Instruments Explorer Plus Solar Powered School Math Scientific Calculator,799,Pre-Owned,0,False,
New ListingTexas Instruments TI-81 TI81 Graphing Calculator with Cover - Tested & Working,1895,Pre-Owned,830,False,
Texas Instruments TI-35 Plus Scientific Calculator VTG,1397,Pre-Owned,0,True,
Texas Instruments TI-108 Basic Calculator,795,New – Open box,0,False,
Desktop Calculator 12 Digit LCD Display Big Button Solar/Battery Dual Power,795,Brand New,0,True,
Sharp EL-377TB Calculator Solar/Battery,1699,Brand New,0,False,
-NEW- Texas Instruments TI-34 MultiView Scientific Calculator 16-Digit LCD,1895,Brand New,0,True,
Shop on eBay,2000,Brand New,,False,
