name,price,status,shipping,free_returns,items_sold
New ListingLot of 10! Victor 700 Pocket Calculator,1499,Pre-Owned,0,True,
Texas Instruments TI-83 Plus Graphing Calculator,2799,Pre-Owned,0,True,
New ListingTWO Texas Instruments TI-84 Plus Graphing Calculator - Black. TWO CALCULATORS.,13500,New – Open box,1365,False,
Texas Instruments TI-68 Black Handheld Advanced Scientific Calculator,2691,Pre-Owned,0,False,
New ListingTexas Instruments TI-83  Graphing Calculator Black,1795,Pre-Owned,1085,False,
"New ListingPink Casio fx-9750gii, tested and working",1000,Pre-Owned,700,False,
Sharp Calculator EL-233SB 8-Digit Pocket Calculator - EL233SB - Small Palm SIzed,689,Brand New,0,False,
New ListingTexas Instruments TI-35 Plus Graphing Calculator,1399,Pre-Owned,600,True,
Texas Instruments TI-nspire CX CAS Graphing Calculator,3307,Pre-Owned,1043,False,
New ListingTexas Instruments TI-84 Plus Graphing Calculator - Black No Cover!,4900,Pre-Owned,900,False,
New ListingTexas Instruments TI-83 Plus Graphing Calculator,1499,Pre-Owned,495,False,
New ListingHewlett-Packard HP 12C Handheld Electronic Financial Calculator tested works,1495,Pre-Owned,747,False,
CATIGA CD-8185 Office and Home Style Basic  Calculator - 8-Digit LCD Display,949,Brand New,0,False,
Casio FX-9750G111 Graphing Calculator - Open-Box + Charging Cord,2999,New – Open box,0,False,
Electronic Calculator Desktop 12 Digit Large Button Dual Power Daily Office Home,794,Brand New,0,True,625
Solar Battery Desktop Calculator Basic 12-Digit Large Display Office Business,766,Brand New,0,True,
New ListingTexas Instruments TI-36X Pro Scientific Calculator (GREAT CONDITION)  !!!!,1099,Pre-Owned,1260,False,
New ListingHP 49g+ Graphing Calculator with case and 1Gb SD card.,2650,Pre-Owned,1275,False,
New ListingTexas Instruments TI-81 TI81 Graphing Calculator with Cover - Tested & Working,1895,Pre-Owned,830,False,
Texas Instruments TI-35 Plus Scientific Calculator VTG,1397,Pre-Owned,0,True,
Texas Instruments TI-83 Plus Silver Graphing Calculator W/Covers. NEW BATTERIES!,3999,Pre-Owned,0,False,28
Texas Instruments TI 83 Graphing Calculator with Cover,1500,Pre-Owned,685,False,
New ListingHP 12C Financial Calculator Hewlett-Packard with Case,1520,Pre-Owned,595,False,
Texas Instruments TI-108 Basic Calculator,795,New – Open box,0,False,
Texas Instruments TI-84 Plus CE Color Graphing Calculator White NEW,10499,Brand New,0,False,
New ListingTexas Instruments: 2 TI-30X IIS Two Line Scientific Calculator Tested Works,995,Pre-Owned,600,False,
New ListingTexas Instruments Ti-Nspire CX CAS Color Graphing Calculator,7499,Pre-Owned,499,False,
New ListingTexas Instruments BA II PLUS Financial Handheld,3399,Brand New,0,False,
Solar Battery Desktop Calculator Basic 12-Digit Large Display Office Business US,766,Brand New,0,True,
Hewlett Packard HP 48GX Graphing Calculator With Case Tested No Manual,18000,Pre-Owned,0,False,
LARGE 8-DIGIT JUMBO DISPLAY CALCULATOR SOLAR BATTERY Big Button Desktop Math,799,Pre-Owned,0,False,
 Casio HR-170L HR-170LB HR-170RC Calculator Ink Roller Black and Red  ,599,Brand New,0,True,
New ListingTexas Instruments TI-73 Explorer Graphing Calculator W/ Cover - For Parts,495,Parts Only,600,False,
New ListingTexas Instruments TI-84 Plus Edition Graphing Calculator TESTED,5799,Pre-Owned,0,True,
New ListingSharp EL-W535 WriteView Handheld Scientific Calculator,900,Pre-Owned,585,False,
New ListingTexas Instrument TI-36x Solar Scientific Calculator w/Cover Works Like It Should,1200,Pre-Owned,0,False,
New ListingTexas Instruments TI-83 Plus Graphing Calculator With Cover PARTS ONLY FREE SHIP,2199,Parts Only,0,False,
Texas Instruments Explorer Plus Solar Powered School Math Scientific Calculator,799,Pre-Owned,0,False,
LOT OF 10 Texas Instruments TI-15 Scientific Calculator with Carry case,3750,Pre-Owned,0,False,
Texas Instruments TI-Nspire CX CAS Handheld Graphing Calculator,6999,Pre-Owned,0,False,
TI-84 Plus C Silver Edition Charger Power Adapter Genuine TI Product w USB,697,Refurbished,0,False,
Pick a Color -Texas Instruments TI-30X IIS Scientific Calculator 2 Line 10 digit,925,Pre-Owned,0,False,
New ListingTexas Instruments TI-83 PLUS Graphing Calculator,2500,Pre-Owned,550,False,
"New ListingTexas Instruments TI Nspire CX CAS Graphing Calculator w / USB Charger, Cover",4995,New – Open box,1174,False,
New ListingTexas Instruments TI-81 Graphing Calculator Tested Working With Protective Cover,1699,Pre-Owned,0,False,
New ListingTexas Instruments TI-84 Plus Graphing Calculator Black - Tested,4495,Pre-Owned,0,False,
Touchpad Keypad for TI-Nspire Graphing Calculator TI 84 Plus,700,Pre-Owned,0,True,
New ListingTexas Instruments TI-83 Plus Graphing Calculator Good Condition Tested-Fast Ship,1899,Pre-Owned,0,False,
New ListingTexas Instruments TI-83 Plus Graphing Calculator Tested!!,2800,Pre-Owned,500,False,
Texas Instruments TI-84 Plus CE Color Graphing Calculator Purple  NEW,10499,Brand New,0,False,
New ListingTexas Instruments TI-84 Plus Graphing Calculator - Black,5499,Pre-Owned,499,False,
Texas Instruments TI-36X Pro Scientific Calculator,1100,Pre-Owned,0,False,
Casio SL-300SV Basic Calculator-silver-no box,695,Pre-Owned,0,False,42
New ListingTexas Instruments TI-30XS MultiView Scientific Calculator,699,Pre-Owned,559,False,
Texas Instruments TI-85 Graphing Calculator Black Tested & Working with Cover,2600,Pre-Owned,975,False,
New ListingTexas Instruments TI-83 Plus Graphing Calculator w/ Cover,2495,Pre-Owned,0,False,
Texas Instruments Ti 83 Plus Graphic Calculator,2999,Pre-Owned,0,False,
New ListingTexas Instruments TI-83 Plus Graphing Calculator Lot Of 10 Working With Covers,20000,Pre-Owned,1500,False,
New ListingHewlett Packard HP-10BII Plus Financial Calculator HP 10BII+ - With Sleeve,3999,Pre-Owned,0,False,
New ListingTexas Instruments TI-nspire CX II Graphing Calculator - White.,9898,Brand New,0,False,
calculator with small buttons,1000,Pre-Owned,100,False,
New ListingCASIO DM-1200TE Two Way Power Tax & Exchange Calculator 12 Digits Large Buttons,999,Pre-Owned,610,False,
New ListingTexas Instruments TI-89 Titanium Graphing Calculator - Black Lot Of 5 Working,20000,Pre-Owned,1600,False,
New ListingTexas Instruments TI-84 Plus Graphing Calculator Tested Fast Shipping,4000,Pre-Owned,1260,False,
New ListingTexas Instruments TI-81 TI81 Graphing Calculator - Tested & Working,1200,Pre-Owned,400,True,
"New ListingTI-82 Graphing Calculator with Cover, Used",1800,Refurbished,800,False,
Solar Battery Desktop Calculator Basic 12-Digit Large Display Office Business US,766,Brand New,0,True,
New ListingTexas Instruments TI-84 Plus CE Graphing Calculator - Black - NEW - Retail $150,9200,Brand New,925,False,
New ListingVintage Panasonic JE-822OU Electronic Calculator,1000,Pre-Owned,500,False,
Texas Instruments TI-30X IIS Scientific Calculator - White & Gray,999,Pre-Owned,0,False,
Hewlett Packard HP 48GX HP 48G Graphing Calculator Manual User Guide &Quick Star,4500,Pre-Owned,0,False,
New ListingTexas Instruments TI 85 Calculator PARTS ONLY or repair,899,Parts Only,830,False,
New ListingTexas Instruments TI-83 Plus Calculator with cover.TESTED and WORKING Clear Blue,2500,Pre-Owned,800,False,
Texas Instruments TI-108 Basic Calculator NIB,1160,Brand New,975,False,
Texas Instruments Ti-86 Graphing Calculator With Cover T7,1119,Pre-Owned,585,False,
Shop on eBay,2000,Brand New,,False,
Texas Instruments TI-108 Basic Calculator NIB,1160,Brand New,975,False,
CASIO CFX-9850GB PLUS Graphing Scientific Calculator Rare!,1495,Pre-Owned,600,True,
Texas Instruments Ti-86 Graphing Calculator With Cover T7,1119,Pre-Owned,585,False,
"Texas Instrument TI-81 Graphing Calculator With Cover, Blue, Tested Working",1000,Pre-Owned,500,False,
"New ListingDIAMOND VISIONS INC 8 DIGIT CALCULATOR 4.5"" (1-UNIT), ASSORTED COLORS VARIATIONS",800,Brand New,0,False,
Graphing scientific calculator Catiga - CS-229,1490,Brand New,685,False,
Hewlett Packard HP 12C Platinum Black & Silver Handheld Financial Calculator,1499,Pre-Owned,0,False,
New ListingCobblecreek 5088 Solar Piano Calculator,400,Brand New,470,False,
New ListingTexas Instrument TI-15 Solar Calculator,599,Pre-Owned,700,False,
New ListingTexas Instruments TI-84 Plus Graphing Calculator - Excellent Condition,4800,Pre-Owned,800,False,
New ListingTexas Instruments TI-84 Plus Silver Edition  - Silver Tested Working Stand!,6499,Pre-Owned,685,False,
New Genuine Texas Instruments Rechargeable Battery with Wire CX CAS Ti-84+ CSE,1195,Brand New,0,False,371
Texas Instruments TI-nspire CX CAS Graphing Calculator,3307,Pre-Owned,1043,False,
Texas Instruments TI-82 Scientific Graphing Calculator w/ Cover,1399,Pre-Owned,0,False,
Texas Intruments TI-nspire CX Graphing Calculator,5500,Pre-Owned,610,False,
"MS-80B 8-Digit Desktop Calculator, Blue",1590,Brand New,0,False,
New ListingTexas Instruments TI-34 MultiView Scientific Calculator - Blue/White,99,Pre-Owned,545,False,
New ListingTexas Instruments TI-84 Plus CE Black Graphing Calculator With Cable,8099,Pre-Owned,0,True,
New ListingTexas Instruments TI-83 Plus Graphing Calculator With Case Tested Working,3500,Pre-Owned,0,False,
Texas Instruments TI-84 Plus CE Color Graphing Calculator - White,10499,Brand New,0,True,
New ListingTexas Instruments TI-84 Plus Graphing Calculator 10-Digit LCD,5600,Pre-Owned,1260,False,
New ListingTexas Instruments TI-82 Graphing Calculator with Cover,2500,Brand New,1115,False,
New ListingTexas Instruments TI-30Xa Scientific Calculator,1,Pre-Owned,610,False,
New ListingTexas Instruments TI-84 Graphing Calculator - Black,5200,Pre-Owned,750,False,
"New ListingCASIO CFX-9850Ga PLUS Calculator, Used",2500,Pre-Owned,900,False,
New Craftsman Project Calculator 9-39749 Do-it-Yourself Home Improvement ,1800,New – Open box,590,False,
New ListingTexas Instruments Ti-83 Plus Graphing Calculator w/Cover PLEASE READ TESTED!,2250,Pre-Owned,610,False,
"New ListingCasio fx-9750GIII-PK Graphing Calculator, Pink. New In Box",3499,Brand New,1260,False,
JUMBO DESKTOP CALCULATOR - UNBRANDED . TESTED (G),1699,Pre-Owned,0,False,
Texas Instruments TI-84 Plus Calculator Good Condition Fast Free shipping :),5700,Pre-Owned,300,False,
OEM TI-84 Plus Ce Slide Cover Yellow Calculator Very Good 5789,1058,Pre-Owned,0,True,
Calculated Industries Construction Master Pro Calculator,6299,Brand New,749,True,
New ListingCasio FX9750GPlus Graphing Calculator,99,Pre-Owned,878,False,
HP-35s Calculator Programmed with Surveying Solutions for the HP35s - NCEES,39995,Brand New,895,True,254
New ListingTI-83 Plus Graphing Calculator w/ Cover And Manual (For parts only),800,Parts Only,849,True,
New ListingTexas Instruments Graphing Calculator Ti-83 Plus Black W/ Slide Cover,2999,Pre-Owned,1260,False,
New ListingTexas Instruments TI-85 Graphing Calculator With Case & Manual. Tested. Works,1590,Pre-Owned,1085,False,
New ListingTexas Instruments TI-92 Graphing Calculator - Tested and Working,3000,Pre-Owned,1260,False,
Vintagr Unisonic Solar Power Calculator LC-584 Jumbo Display No Case,750,Pre-Owned,610,False,
TI-34 Scientific Calculator,1000,Pre-Owned,600,False,
"Handheld Calculator Stand (Perfect for HP-17BII, HP-32SII, HP-35S...)",1495,Brand New,395,True,193
New ListingTexas Instruments TI-83 Graphing Calculator w Cover Tested & Works Free Shipping,2199,Pre-Owned,0,False,
LOT OF 10 TEXAS INSTRUMENTS TI-15 SCIENTIFIC SOLAR-POWERED CALCULATOR,1500,Pre-Owned,1000,False,
New ListingTexas Instruments TI-84 Plus Graphing Calculator Black With Cover,8499,New – Open box,0,False,
"New ListingHP 49G Graphing Calculator with Display Issue, no Cover",3700,Pre-Owned,1000,False,
New ListingTexas Instruments TI-83 Plus Graphing Calculator - Black (83PL/TBL/1L1/A),1500,Pre-Owned,1260,False,
Texas Instruments TI-503 SV SuperView Basic Pocket Calculator,899,Brand New,0,True,
"New ListingHP 49G Graphing Calculator with Cover, Used",6300,Pre-Owned,1000,False,
Solar Powered Desk Calculator 12-Digit Desktop Calculator with Standard Function,1294,Brand New,0,True,
New ListingTexas Instruments Ti-30x IIS Scientific Calculator LCD Ti-30x 2S Working Good,299,Pre-Owned,610,False,
New ListingTexas Instruments TI-Nspire CX CAS Graphing Calculator & Charger,7599,Pre-Owned,660,False,
"(3 Pack) Casio Calculator Ink Roller, Black Red, for HR-100TM & HR-150TM & more",999,Brand New,0,False,
New ListingHewlett Packard HP 12C Platinum Handheld Electronic Financial Calculator & Case,2495,Pre-Owned,499,False,
Texas Instruments TI-84 Plus Graphing Calculator - Black cover a bit broken,8199,Brand New,0,True,
Casio Small 8 Digit Folding Solar Battery Silver Calculator for Pocket or Purse,965,Brand New,0,False,
New ListingTI-84 Plus Silver Edition Graphing Calculator Texas Instruments w/ Cover Pink,5300,Pre-Owned,500,False,
New ListingTexas Instruments BA II Plus Calculator Advanced Business Analyst,1999,Pre-Owned,0,False,
New ListingTexas Instruments TI-84 Plus Graphing Calculator - Black,5500,Pre-Owned,1190,False,
New ListingHP 20S Scientific Calculator without a Case,4000,Refurbished,1000,False,
New ListingTexas Instruments BA II 2 Plus Advanced Business Analyst Financial Calculator,2000,New – Open box,610,False,
🚀 Texas Instruments TI-36X Solar Scientific Calculator w/ Cover WORKS (LL4),536,Pre-Owned,395,False,
Texas Instruments TI-84 Plus CE Color Graphing Professional Calculator,9499,Brand New,0,False,
New ListingHP 10B Business (Financial) Calculator without Case,1700,Pre-Owned,800,False,
New ListingBrand New Texas Instruments TI-84 Plus All-Purpose Graphing Calculator,9200,Brand New,0,True,
New ListingTexas Instruments TI-83 Plus Graphing Calculator Tested Working Black NO Cover,3400,Pre-Owned,574,False,
Texas Instruments Personal Banker Solar Calculator Only the Calculator Part Work,495,Parts Only,455,False,
Portable Calculator Pocket Size Creative Keychain Calculator Office Suppl Hs$f,182,Brand New,0,False,
Canon LS-100TS Portable Business Calculator 10-Digit LCD 5936A028AA,1630,Brand New,0,False,
Texas Instruments TI-82 Graphing Calculator w/ Cover- Tested & Working,1199,Pre-Owned,610,False,
New ListingTexas Instruments TI-83 Plus Silver Edition SE Graphing Calculator Clear w/Cord ,3999,Pre-Owned,1190,False,
New Listing🔥NEW SEALED Texas Instruments TI-84 Plus Graphing Calculator🔥,8399,Brand New,0,False,
New Listing⭐Vintage Texas Instruments BA II 2 Plus Advanced Business Analyst Calculator ⭐,1000,Pre-Owned,590,False,
New ListingTexas Instruments TI-30Xa Scientific Calculator EXCELLENT CONDITION!! ,1799,Pre-Owned,0,False,
Vintage Texas Instrument Calculator TI-30,1100,Pre-Owned,400,False,
"Sharpie Smear Guard Retractable Highlighters, Chisel Tip, 8 Colors Set - SEALED!",1369,Brand New,0,True,
